metric_name,value,unit,year,page_number,confidence_score
Number of companies in Ireland's cyber security sector,500.0,,,3,0.8500000000000001
Number of people employed in Ireland's cyber security sector,7500.0,,,3,0.8500000000000001
Revenues of Ireland's cyber security sector,2100000000.0,€,2021,3,0.9000000000000001
Gross Value Added of Ireland's cyber security sector,1100000000.0,€,2021,3,0.9000000000000001
Revenue per employee in Ireland's cyber security sector,150000.0,€,,3,0.9000000000000001
Number of jobs in Ireland's cyber security sector by 2030,17000.0,,2030,3,0.9000000000000001
Gross Value Added of Ireland's cyber security sector by 2030,2100000000.0,€,2030,3,0.9000000000000001
Number of firms,489.0,count,2022,4,0.8500000000000001
Percentage of firms offering dedicated cyber security services,33.0,%,2022,4,0.8500000000000001
Percentage of firms offering diversified services,67.0,%,2022,4,0.8500000000000001
Number of large firms,162.0,count,2022,4,0.8500000000000001
Number of SMEs,162.0,count,2022,4,0.8500000000000001
Percentage of indigenous firms,50.0,%,2022,4,0.8500000000000001
Number of cyber security professionals,7351.0,count,2022,4,0.8500000000000001
Percentage of firms employing between one to nine cyber security professionals,66.0,%,2022,4,0.8500000000000001
Percentage of employment supported by foreign direct investment,71.0,%,2022,4,0.9000000000000001
Percentage of firms headquartered in the United States,28.0,%,2022,4,0.9000000000000001
Percentage of employment supported by firms headquartered in the United States,55.0,%,2022,4,0.9000000000000001
18,18.0,,,10,0.8
18,18.0,,,10,0.8
19,19.0,,,10,0.8
02,2.0,,,10,0.8
2019,2019.0,,2019,10,0.8
2019,2019.0,,2019,10,0.8
2024,2024.0,,2024,10,0.8
2.1,2.1,,,10,0.8
Number of cyber security offices in Cork region,129.0,offices,,16,0.8500000000000001
Number of offices in Limerick region,30.0,offices,,16,0.8500000000000001
Number of offices in Dublin region,30.0,offices,,16,0.8500000000000001
Number of firms offering a product or service within the sector,489.0,,,32,0.8500000000000001
Number of employees in the sector,7351.0,,,32,0.9000000000000001
Percentage of employees employed in a firm headquartered overseas,71.0,%,,32,0.9000000000000001
Percentage of employment supported by US-headquartered firms,55.0,%,,32,0.9000000000000001
Number of offices across the country,734.0,,,32,0.8500000000000001
GVA generated by the cyber security sector,1100000000.0,€,,32,0.9000000000000001
GVA per employee within the cyber security sector,150000.0,€,,32,0.9000000000000001
UK estimate of GVA per employee,120000.0,€,,32,0.9000000000000001
72,72.0,,,37,0.8
73,73.0,,,37,0.8
9.2,9.2,,,37,0.8
85,85.0,,2020,37,0.8500000000000001
31 billion,31000000000.0,USD,2021,37,0.8500000000000001
"250,000",250000.0,,2021,37,0.8500000000000001
250k,250000.0,,2025,37,0.8500000000000001
10 times more,10.0,,,37,0.8500000000000001
74,74.0,,,38,0.8
75,75.0,,,38,0.8
450,450.0,companies,2018,38,0.8500000000000001
Number of cyber security providers identified in Ireland,489.0,,,9,0.8500000000000001
six hundred,600.0,,,9,0.8500000000000001
Number of firms,489.0,,,12,0.8500000000000001
Percentage of large firms,44.0,%,,12,0.9000000000000001
Percentage of large firms in the UK,10.0,%,2021,12,0.9000000000000001
Percentage of SMEs,56.0,%,,12,0.9000000000000001
Percentage of medium-sized firms,12.0,%,,12,0.9000000000000001
Percentage of small firms,16.0,%,,12,0.9000000000000001
Percentage of micro-enterprises,28.0,%,,12,0.9000000000000001
percentage,49.0,%,,13,0.8500000000000001
percentage,46.0,M,,13,0.8500000000000001
percentage,60.0,%,,13,0.8500000000000001
percentage,39.0,%,,13,0.8500000000000001
percentage,40.0,%,,13,0.8500000000000001
percentage,28.0,%,,13,0.8500000000000001
percentage,53.0,,,13,0.8
percentage,21.0,,,13,0.8
percentage,11.0,%,,13,0.8500000000000001
percentage,1.0,%,,13,0.8500000000000001
number,139.0,,,13,0.8
number,8.0,,,13,0.8
number,9.0,,,13,0.8
number,6.0,,,13,0.8
number,4.0,%,,13,0.8500000000000001
number,2.0,%,,13,0.8500000000000001
number,51.0,M,,13,0.8500000000000001
Number of Large Firms,194.0,,,14,0.9000000000000001
Percentage of Large Firms,89.0,%,,14,0.9000000000000001
Number of Medium Firms,23.0,,,14,0.8500000000000001
Percentage of Medium Firms,11.0,%,,14,0.8500000000000001
Number of Small Firms,17.0,,,14,0.8500000000000001
Percentage of Small Firms,29.0,%,,14,0.8500000000000001
Number of Micro Firms,41.0,,,14,0.8500000000000001
Percentage of Micro Firms,71.0,%,,14,0.8500000000000001
Number of Total Firms,249.0,,,14,0.8500000000000001
Percentage of Total Firms,51.0,%,,14,0.8500000000000001
Number of Total Firms,217.0,,,14,0.9000000000000001
Number of Total Firms,58.0,,,14,0.8500000000000001
Number of Total Firms,77.0,,,14,0.8500000000000001
Number of Total Firms,137.0,,,14,0.8500000000000001
Number of Total Firms,489.0,,,14,0.8500000000000001
Number of Total Firms,240.0,,,14,0.8500000000000001
Population,2101.0,,,18,0.8
Percentage,29.0,%,,18,0.8500000000000001
Value,475.0,,,18,0.8500000000000001
Percentage,6.0,%,,18,0.9000000000000001
Value,253.0,,,18,0.9000000000000001
Value,196.0,,,18,0.9000000000000001
Value,150.0,,,18,0.9000000000000001
Value,120.0,,,18,0.8
Percentage,3.0,%,,18,0.9000000000000001
Percentage,313.0,%,,18,0.9000000000000001
Value,10.0,,,18,0.9000000000000001
Percentage,2.0,%,,18,0.9000000000000001
Percentage,2.0,%,,18,0.9000000000000001
